,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
0,2692.,Get Together,NorthGate Brewing ,"Minneapolis, MN",American IPA,16 oz.,4.5%,50
1,2691.,Maggie's Leap,NorthGate Brewing ,"Minneapolis, MN",Milk / Sweet Stout,16 oz.,4.9%,26
2,2690.,Wall's End,NorthGate Brewing ,"Minneapolis, MN",English Brown Ale,16 oz.,4.8%,19
3,2689.,Pumpion,NorthGate Brewing ,"Minneapolis, MN",Pumpkin Ale,16 oz.,6.0%,38
4,2688.,Stronghold,NorthGate Brewing ,"Minneapolis, MN",American Porter,16 oz.,6.0%,25
5,2687.,Parapet ESB,NorthGate Brewing ,"Minneapolis, MN",Extra Special / Strong Bitter (ESB),16 oz.,5.6%,47
6,2686.,Citra Ass Down,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,8.0%,68
7,2685.,London Balling,Against the Grain Brewery,"Louisville, KY",English Barleywine,16 oz.,12.5%,80
8,2684.,35 K,Against the Grain Brewery,"Louisville, KY",Milk / Sweet Stout,16 oz.,7.7%,25
9,2683.,A Beer,Against the Grain Brewery,"Louisville, KY",American Pale Ale (APA),16 oz.,4.2%,42
10,2682.,Rules are Rules,Against the Grain Brewery,"Louisville, KY",German Pilsener,16 oz.,5.0%,25
11,2681.,Flesh Gourd'n,Against the Grain Brewery,"Louisville, KY",Pumpkin Ale,16 oz.,6.6%,21
12,2680.,Sho'nuff,Against the Grain Brewery,"Louisville, KY",Belgian Pale Ale,16 oz.,4.0%,13
13,2679.,Bloody Show,Against the Grain Brewery,"Louisville, KY",American Pilsner,16 oz.,5.5%,17
14,2678.,Rico Sauvin,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,7.6%,68
15,2677.,Coq de la Marche,Against the Grain Brewery,"Louisville, KY",Saison / Farmhouse Ale,16 oz.,5.1%,38
16,2676.,Kamen Knuddeln,Against the Grain Brewery,"Louisville, KY",American Wild Ale,16 oz.,6.5%,N/A
17,2675.,Pile of Face,Against the Grain Brewery,"Louisville, KY",American IPA,16 oz.,6.0%,65
18,2674.,The Brown Note,Against the Grain Brewery,"Louisville, KY",English Brown Ale,16 oz.,5.0%,20
19,2673.,House Lager,Jack's Abby Craft Lagers,"Framingham, MA",Keller Bier / Zwickel Bier,16 oz.,5.2%,18
20,2672.,Leisure Time,Jack's Abby Craft Lagers,"Framingham, MA",American Pale Lager,12 oz. ,4.8%,15
21,2671.,Excess IPL,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,16 oz.,7.2%,80
22,2670.,Hoponius Union,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,6.7%,65
23,2669.,Calyptra,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,4.9%,45
24,2668.,Habitus (2014),Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.0%,100
25,2667.,Solis,Mike Hess Brewing Company,"San Diego, CA",American IPA,16 oz.,7.5%,85
26,2666.,Jucundus,Mike Hess Brewing Company,"San Diego, CA",Wheat Ale,16 oz.,6.0%,24
27,2664.,Habitus,Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.0%,100
28,2663.,Grazias,Mike Hess Brewing Company,"San Diego, CA",Cream Ale,16 oz.,6.3%,30
29,2662.,Claritas,Mike Hess Brewing Company,"San Diego, CA",Kölsch,16 oz.,5.8%,28
30,2661.,Park,Fort Point Beer Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.7%,19
31,2660.,Westfalia,Fort Point Beer Company,"San Francisco, CA",American Amber / Red Ale,12 oz.,5.6%,16
32,2659.,KSA,Fort Point Beer Company,"San Francisco, CA",Kölsch,12 oz.,4.6%,17
33,2658.,Villager,Fort Point Beer Company,"San Francisco, CA",American IPA,12 oz.,6.3%,42
34,2657.,Blackbeard,COAST Brewing Company,"Charleston, SC",American Double / Imperial Stout,12 oz.,9.3%,N/A
35,2656.,Rye Knot,COAST Brewing Company,"Charleston, SC",American Brown Ale,12 oz.,6.2%,N/A
36,2655.,Dead Arm,COAST Brewing Company,"Charleston, SC",American Pale Ale (APA),12 oz.,6.0%,N/A
37,2654.,32°/50° Kölsch ,COAST Brewing Company,"Charleston, SC",Kölsch,16 oz.,4.8%,N/A
38,2653.,HopArt,COAST Brewing Company,"Charleston, SC",American IPA,16 oz.,7.7%,N/A
39,2652.,Boy King,COAST Brewing Company,"Charleston, SC",American Double / Imperial IPA,16 oz.,9.7%,N/A
40,2650.,Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company,"Denver, CO",American Pale Ale (APA),12 oz.,5.0%,N/A
